nf,la,lr,result
3.0,52.0,13.0,N
2.0,28.0,11.0,Y
17.0,475.0,354.0,Y
1.0,7.0,3.0,Y
1.0,3.0,3.0,Y
8.0,78.0,43.0,N
2.0,123.0,4.0,Y
4.0,807.0,321.0,Y
1.0,11.0,2.0,N
2.0,58.0,3.0,Y
1.0,59.0,1.0,N
1.0,54.0,60.0,Y
2.0,4.0,1.0,Y
2.0,8.0,6.0,N
1.0,13.0,19.0,N
18.0,569.0,160.0,Y
2.0,102.0,2.0,N
8.0,455.0,4.0,Y
1.0,8.0,8.0,N
3.0,48.0,10.0,N
2.0,2.0,2.0,Y
2.0,16.0,7.0,N
5.0,81.0,5.0,Y
2.0,43.0,0.0,N
12.0,302.0,258.0,Y
2.0,149.0,35.0,Y
1.0,1.0,1.0,N
2.0,7.0,7.0,N
4.0,143.0,9.0,Y
0.0,0.0,0.0,N
2.0,75.0,42.0,Y
2.0,12.0,4.0,Y
4.0,16.0,17.0,N
0.0,0.0,0.0,N
5.0,293.0,179.0,Y
6.0,203.0,61.0,N
4.0,49.0,21.0,Y
6.0,69.0,52.0,Y
1.0,1.0,1.0,N
1.0,8.0,7.0,Y
1.0,77.0,21.0,Y
1.0,5.0,5.0,N
1.0,52.0,0.0,N
34.0,34.0,34.0,N
1.0,35.0,30.0,N
3.0,70.0,10.0,N
3.0,5.0,1.0,N
18.0,192.0,379.0,Y
2.0,25.0,25.0,N
1.0,20.0,17.0,Y
3.0,50.0,16.0,Y
1.0,27.0,1.0,N
19.0,503.0,883.0,N
11971.0,873422.0,847835.0,N
1.0,30.0,16.0,Y
1.0,20.0,1.0,N
10.0,39.0,563.0,Y
1.0,34.0,0.0,N
0.0,0.0,0.0,N
1.0,1.0,0.0,N
4.0,19.0,277.0,N
3.0,3.0,3.0,Y
1.0,8.0,0.0,N
17.0,209.0,233.0,N
1.0,8.0,1.0,N
6.0,138.0,171.0,Y
1.0,5.0,5.0,N
3.0,198.0,23.0,N
23.0,602.0,604.0,Y
0.0,0.0,0.0,N
3.0,96.0,34.0,Y
2.0,39.0,21.0,N
1.0,13.0,13.0,N
9.0,213.0,1.0,N
4.0,34.0,23.0,Y
2.0,38.0,3.0,N
9.0,116.0,10.0,N
6.0,113.0,18.0,Y
1.0,24.0,10.0,N
0.0,0.0,0.0,Y
1.0,6.0,5.0,Y
3.0,112.0,34.0,Y
1.0,4.0,0.0,Y
1.0,12.0,9.0,N
1.0,11.0,1.0,N
3.0,3.0,2.0,N
0.0,0.0,0.0,Y
14.0,1213.0,99.0,N
4.0,239.0,205.0,Y
4.0,371.0,32.0,N
2.0,7.0,2.0,Y
12.0,348.0,186.0,N
3.0,55.0,34.0,N
2.0,63.0,5.0,N
0.0,0.0,0.0,Y
9.0,658.0,448.0,Y
23.0,605.0,570.0,Y
1.0,1.0,1.0,N
12.0,767.0,523.0,Y
3.0,95.0,17.0,N
6.0,41.0,20.0,Y
1.0,2.0,2.0,Y
2.0,60.0,3.0,N
1.0,2.0,1.0,Y
1.0,8.0,0.0,Y
9.0,357.0,62.0,N
3.0,119.0,14.0,N
7.0,53.0,12.0,Y
12.0,572.0,271.0,Y
1.0,15.0,8.0,N
